,,title,description,skill
cg,50,Welding & Fabrication Industry Certification Program - Additional Welding Programs,"The Monroe Community College Career Welding & Fabrication Program features training for MIG, TIG, Flux Core and Stick welding processes. On-site AWS Qualification training and testing is conducted to validate the students' skill level. A mininum of six tests must be successfully completed and students have the opportunity to take as many more as time permits. The program also provides resume writing assistance, employer research techniques, and mock job interviews. To date, our graduates have been hired by over 110 different Rochester area employers.",MIG (PULSE) Welding
cg,51,Welding & Fabrication Industry Certification Program - STICK WELDING FOR PIPING & STRUCTURAL TUBE,"This fast-paced course is designed to provide the skills necessary to gain professional level qualifications for pipe and structural tube welding. Filler metals and piping materials for this course are included in the cost. Safety gear, welding hood and standard fitting tools are required and not provided. A complete supply list will be reviewed during the preregistration meeting. All candidates will meet with the instructor for a pre-registration interview to review and verify sufficient basic skills to successfully complete the course.",Pipe Welding
cg,52,Bachelor's Degree in Cybersecurity Curriculum,"The BS-Cybersecurity program is an inclusive education in the theory and application of technical and non-technical security skills. The program covers an array of abilities required by the quickly evolving cybersecurity industry. These skills include applying protection, detection, and response technologies and procedures to identify threats, vulnerabilities, exploits, and controls in various cyber environments. Emphasis is placed on identifying, analyzing, mitigating and communicating risks to cyber systems using various tools, techniques, and technologies.",Cybersecurity Strategy
cg,53,Enhanced Operator Certificate 16 - Week Training Program - Phase 1 Milestones,"The Enhanced Operator Certificate is a short-term Corporate College industry credential consisting of 14 credit hours of coursework. Upon successful completion of this program, students will obtain the Enhanced Operator Certificate (short-term college credential) equivalent to 14 credit hours of college credit, and will have the option of obtaining Lean Six Sigma Yellow Belt Certification (at an additional cost). NOTE: For those students who wish to continue their education in pursuit of an associate degree, the Enhanced Operator Certificate will count towards the Manufacturing Engineering Technology Associate in Applied Science program.",Six Sigma
cg,54,Enhanced Operator Certificate 16 - Week Training Program - Phase 2 Milestones,"The Enhanced Operator Certificate is a short-term Corporate College industry credential consisting of 14 credit hours of coursework. Upon successful completion of this program, students will obtain the Enhanced Operator Certificate (short-term college credential) equivalent to 14 credit hours of college credit, and will have the option of obtaining Lean Six Sigma Yellow Belt Certification (at an additional cost). NOTE: For those students who wish to continue their education in pursuit of an associate degree, the Enhanced Operator Certificate will count towards the Manufacturing Engineering Technology Associate in Applied Science program.",Six Sigma
cg,58,Certified Production Technician Courses,"MSSC delivers its CPT Courses through well-established training organizations.  There are three types of Courses to meet various individual and training needs. These Courses are designed (a) to align with MSSC Standards and (b) to help individuals enhance their core knowledge and skills for production work from entry-level to front-line supervisory level.

These Courses are built upon MSSC's e-learning which includes modular courses for: Safety, Quality Practices & Measurement, Manufacturing Production & Processes, Maintenance Awareness, and Green Production. The online, computer-based simulation training covers the basic and technical skills while providing students and workers with the knowledge and skills needed to prepare them for an advanced, high-performance manufacturing environment.",Manufacturing Industry Knowledge
cg,59,Certified Logistics Technician Courses,"To enhance the competency of the supply chain logistics workforce, MSSC offers two logistics Courses aligned with its standards. These Courses can be given in a blended learning environment using both instructor led and e-learning methodologies or as fully online courses with an online instructor. Students have the ability to enhance their knowledge and computer skills through the e-learning material. MSSC offers courses only to educational institutions and companies that have MSSC-Authorized Instructor in CLT. 

MSSC Courses were developed in strict adherence to the industry-recognized, nationally validated standards upon which the Certified Logistics Technician (CLT) is based. These Courses, delivered by The Quality Group have a proven track record of success in teaching the knowledge and skills identified in the national standards. The success rates for students taking MSSC Courses are 27-points higher than those who do not (78% vs. 51%, respectively). MSSC Courses are highly interactive and utilize state-of-the-art, computer-based e-learning technologies and are delivered by MSSC-Authorized Instructors. MSSC does not authorize, review or endorse any other courses or curricula. MSSC does not require that individuals take MSSC Courses or any other MSSC-related courses before taking an MSSC Assessment.",Logistics
cg,61,Certificate in Cyber Security Fundamentals Coursework,"Explain the landscape, key terms and concepts related to the many layers of information systems security. Implementation policy is also explored.",Cybersecurity Strategy
cg,62,Bachelor of Science in Cyber Security,"The cyber security major prepares individuals for a career as a security professional. This curriculum prepares students for success in IT Security, Cyber Security, Information Assurance, and Information Security Systems Security. It is designed for students with some background in computers. This major requires a minimum of 45 credits.

This major contains courses in both Information Technology and Computer Science.",Cybersecurity Strategy
cg,63,Certificate for Apartment Maintenance Technicians Courses,"The non-technical Soft Skills course consists of online learning, including practice scenarios.  Five technical courses consist of hands-on classroom training followed by online practice scenarios.

Technical Courses

    Electrical Maintenance and Repair
    Plumbing Maintenance and Repair
    Heating, Ventilation and Air Conditioning (HVAC) Maintenance and Repair
    Appliance Maintenance and Repair
    Interior and Exterior Maintenance and Repair
Non-Technical Online Course Modules:

Welcome to the Industry
Customer Service
Teamwork
Time & Project Management
Money Matters
Documentation & Paperwork
Maintenance & Emergencies
Safety First
Compliance
Enhanced with FranklinCovey Insights on Demand video-based online courses
Programs may be taken as standalone seminars or in full to earn the industry credential.",Apartment Maintenance
cg,67,Connecting Learning Theories to Your Teaching Strategies,"Participants in this two-week workshop will learn about several different theories of learning and how teaching strategies based on those theories can promote learning.

Competency: Select teaching strategies based on learning theories.",Teaching
cg,71,Graphic Design Certificate Program,"The SMU Graphic Design Certificate program is offered in a cohort format. A cohort is structured so that students progress through the program together, guided by expert instructors. Courses build upon one another with assignments and lessons, allowing you to hone your design skills in between class sessions. The certificate program culminates in a Capstone Course, in which you'll create your final, portfolio-bound design project, with the guidance of your instructor.",Graphic Design
cg,72,Web Design Certificate Program,"During the certificate program, you will be working on a real-world website project and will require use of the Adobe Creative Cloud software. 
Complete these 10 courses to earn your certificate: Introduction to Web Design, HTML5 and CSS3 (Level 1), Photoshop Essentials, HTML5 and CSS3 (Level 2), Illustrator Essentials, Web Graphics and Interface Design, Javascript and JQuery, Fundamentals of User Interface Design and User Experience, Responsive Design, and Capstone.",HTML5
cg,79,Stem Cell Technologies Certificate,The Stem Cell Technologies Certificate is a two-semester evening program for individuals with a Bachelor of Science degree or an Associate of Applied Science (or equivalent) in the biological sciences who want to work in stem cell technologies and regenerative medicine.,Stem Cell Biology
cg,83,Bachelor of Science in Business Administration with a Major in Management - Project Management Concentration Coursework,A Bachelor of Science in Business Administration with Major in Management - Project Management Track requires the following courses.,Project Management
cg,84,Bachelor of Science in Business Administration with a Major in Management - Human Resource Management Track Coursework,A Bachelor of Science in Business Administration with Major in Management - Human Resource Management Track requires the following courses.,Human Resource Management
cg,85,Bachelor of Science in Business Administration with a Major in Management - Business Analytics Career Track Coursework,A Bachelor of Science in Business Administration with Major in Management - Business Analytics Career Track requires the following courses.,Business Analysis
cg,93,Bachelor of Arts with a Major in English - Literature Concentration Coursework,A Bachelor of Arts with a Major in English with a Literature Concentration requires the following courses.,English
cg,94,Bachelor of Arts with a Major in English - Creative Writing Concentration Coursework,A Bachelor of Arts with a Major in English with a Creative Writing Concentration requires the following courses.,English
cg,95,Bachelor of Science with a Major in Accounting Coursework,A Bachelor of Science with a Major in Accounting requires the following courses,Accounting
cg,96,Bachelor of Arts in Sociology Coursework,A Bachelor of Arts in Sociology requires the following courses,Sociology
cg,98,Bachelor of Science in Sport Management Coursework,A Bachelor of Science in Sport and Event Management requires the following courses,Event Management
cg,108,Bachelor of Science with a Major in Biochemistry Coursework,A Bachelor of Science in Biochemistry requires the following courses.,Biochemistry
cg,110,Bachelor of Science with a Major in Chemistry Coursework,A Bachelor of Science in Chemistry requires the following courses.,Chemistry
cg,111,Bachelor of Arts with a Major in Chemistry Coursework,A Bachelor of Arts in Chemistry requires the following courses.,Chemistry
cg,115,Bachelor of Science with a Major in Biology Coursework,A Bachelor of Science in Biology requires the following courses.,Biology
cg,116,Bachelor of Arts with a Major in Biology Coursework,A Bachelor of Arts in Biology requires the following courses.,Biology
cg,117,Bachelor of Arts with a Major in Biology with a Teacher Licensure Coursework,A Bachelor of Arts in Biology with a Teacher Licensure requires the following courses.,Biology
cg,137,Bachelor of Arts with a Major in Journalism Coursework,A Bachelor of Arts with a Major in Journalism requires the following courses.,Journalism
cg,139,Bachelor of Science in Business Administration with a Major in International Business-Dual Degree,A Bachelor of Science in Business Administration with Major in International Business-Dual Degree requires the following courses.,Business Administration
cg,140,Bachelor of Science in Business Administration with a Major in International Business,A Bachelor of Science in Business Administration with Major in International Business requires the following courses.,Business Administration
cg,169,Bachelor of Science in Business Administration with Major in Marketing Coursework,A Bachelor of Science in Business Administration with Major in Marketing requires the following courses.,Business Administration
cg,178,Precision Machining Technology Associate of Applied Science Courses,"If you're into computers and tools, this will be the right fit for you. You'll cut, grind, shear and shape your way into a machining career.",Machining
cg,182,The Course in Effective Teaching Practices,"ACUE's Course in Effective Teaching Practices prepares college educators to implement all of the essential practices shown to improve student outcomes. The Course includes 25 one-hour online modules across five comprehensive units of study. Consisting of over 180 instructional videos, the Course showcases exemplary teaching on campuses nationwide and features interviews with leading experts in college instruction.

ACUE has achieved QM certification in a nationally recognized quality assurance review.",Teaching
cg,186,Physical Therapist Assistant Studies Coursework,"To complete the Physical Therapist Assistant program at the University of Saint Francis, you must complete the 71 credits indicated in curriculum plan. You are required to maintain a GPA of 2.0 or higher on a 4.0 scale to be eligible to graduate.",Therapist Assistance
cg,193,Administration Essentials for New Admins and Certification (ADM 201C),"If you are an existing Salesforce Administrator who wants to learn the techniques and best practices to ensure the success of your deployment and sit for the Salesforce Administrator Certification examination, then this is the class for you",Salesforce Administration
cg,195,Certification Preparation for Service Cloud Consultant (CRT-261),"Are you ready to take the next step in your career by becoming a Salesforce
Certified Sales Cloud Consultant? Instructors will present scenarios that
will help reinforce your knowledge of Sales Cloud functionality by thinking
through requirements design considerations. The course provides an
overview of the exam objectives to help you focus your efforts to prepare for
the Salesforce Sales Cloud Consultant Certification exam.",Salesforce Sales Cloud
cg,196,Service Cloud Administration (ADM-261),"Service Cloud Administration is a must for experienced administrators who
need to configure and maintain the Service Cloud for their organizations.
Using real-world scenarios, this course will teach administrators how to
configure Salesforce Knowledge, set up service contracts with milestones
and entitlements, create the Console for Service application, configure the
SoftPhone using Open CTI, and set up Live Agent. This course will also teach
administrators how to configure a Customer Community.",Salesforce Service Cloud
cg,197,Certification Preparation for Sales Cloud Consultant (CRT-251),"Are you ready to take the next step in your career by becoming a Salesforce
Certified Sales Cloud Consultant? Instructors will present scenarios that
will help reinforce your knowledge of Sales Cloud functionality by thinking
through requirements design considerations. The course provides an
overview of the exam objectives to help you focus your efforts to prepare for
the Salesforce Sales Cloud Consultant Certification exam.",Salesforce Sales Cloud
cg,198,Sales Cloud Administration  (ADM-251),"Sales Cloud Administration: Products, Quotes, Orders, and Collaborative Forecasts is a must for all administrators who need to configure and maintain these features for their organizations. Using realworld scenarios, this course will teach administrators how to set up products, price books, quotes, and orders to streamline their processes. This course will also teach administrators how to configure Collaborative Forecasts to generate accurate forecasts and track quota attainment.",Salesforce Sales Cloud
cg,201,Advanced Apex Specialist Superbadge,Demonstrate your advanced Apex and Visualforce programming skills and implement complex business logic.,Apex Code
cg,202,Apex Specialist Superbadge,Use integration and business logic to push your Apex coding skills to the limit.,Apex Code
cg,214,Certification Preparation for Advanced Administrator (CRT-211),"Are you ready to be recognized for your mastery of Salesforce administration
by becoming a Salesforce Certified Advanced Administrator? By covering
the details around the exam objectives, this course will help hone your
knowledge of of next-level techniques to administer and manage Salesforce's
CRM capabilities through guided scenarios, lecture, and discussion.",Salesforce Administration
cg,215,Prepare for Your Salesforce Administrator Credential,Preparing to sit for your Salesforce Administrator credential? Check out this trailmix that has been curated to help you get exam ready!,Salesforce Administration
cg,216,Administration Essentials for New Admins ADM-201,"Comprehensive and hands-on, Administration Essentials for New Admins
is the core training that ensures your success with Salesforce. It's a must for
new administrators. We recommend administrators take this course before
starting a Salesforce deployment or when taking over an existing deployment.",Salesforce Administration
cg,218,Essentials of Pardot for Digital Marketers (PDT-101),"Are you looking to become proficient in designing and implementing
marketing workflows in Pardot that drive your company's business? Or do you
want to become a Salesforce Certified Pardot Specialist? Whether you are an
experienced user, or completely new to Pardot, this course will show you how
to effectively design, build, and implement marketing workflows, as well as
use Pardot-generated reports to make data-driven decisions.",Digital Marketing
cg,219,Essentials for Marketing Cloud Email Marketers (EEB101),"Email Essentials is designed to get you up and running on the Salesforce
Marketing Cloud Email Application. In this interactive course, email marketers
will gain hands-on experience creating emails, sending and tracking results,
managing subscriber data, segmenting data to deliver targeted, relevant
messages, and learning automation tools to automate campaigns and daily
tasks.",Salesforce Marketing Cloud
cg,221,Salesforce Marketing Cloud Implementation Workshop,"2-day instructor-led workshop to give Partners in-depth discussion and the hands-on experience they need to consult and implement the Marketing Cloud. Get a sound understanding of the Marketing Cloud, including navigation, advanced workflows and configurations, best practices, functionality, and integrations. Smoothly implement and start using the various applications so that clients quickly realize the full value of the Marketing Cloud.",Salesforce Marketing Cloud
cg,222,SALESFORCE PROFICIENCY PACK FOR ADMINISTRATORS,"Learn the fundamentals of being a Salesforce Admin - in just 30 days! The Salesforce Proficiency Pack for Administrators is a blended, prescriptive, expert-led training program that gives you a 30-day plan to learn what you need to be an awesome Salesforce Administrator, and fast tracks you to the Salesforce Certified Administrator certification.  The program is a mix of engaging bite-sized Trailhead content and live coaching from Salesforce Certified instructors. Twice a week, you will have the opportunity to tune in and review each week's learning with your instructor and the chance for Q&A with fellow students.
The program includes a certification practice exam voucher and a voucher to sit for the Salesforce Certified Administrator exam.",Salesforce Administration
cg,223,Salesforce CPQ Admin Essentials for Experienced Administrators (CPQ-211),"Comprehensive and hands-on, this course is essential for CPQ administrators
by providing a detailed and in-depth look at Salesforce CPQ and its
applications. We recommend experienced administrators take this course
before starting a Salesforce CPQ implementation or when taking over an
existing implementation.",Salesforce Administration
cg,224,Programmatic Development Using Apex and Visualforce (DEV 450),"Are you a programmer who wants to understand how to customize applications programmatically
on the Force.com platform? In this course, you will learn the core of the Apex programming
language and Visualforce markup in order to customize your Force.com applications. You will
get hands-on experience building data objects (sObjects) and programmatically retrieving,
manipulating, and storing the data associated with those objects. You will write custom logic
using Apex triggers and classes, and test that logic using the built-in testing framework. You
will explore how Apex code interacts with declarative customizations on the platform, and the
nuances of working on a multi-tenant platform. You'll then examine common techniques for
designing solutions in Apex. These activities will culminate in an exercise building a complex
trigger that takes advantage of the declarative aspects of the platform. You will get hands-on
experience writing Visualforce pages to customize your user interface and Visualforce controllers
(in Apex) to modify the controller behavior behind the interface. You'll also explore design
techniques and the built-in testing framework around Visualforce.",Apex Code
cg,226,Content Builder Essentials for the Digital Marketer,"The Content Builder Essentials for the Digital Marketer course provides you
the basics for getting started with the Salesforce Marketing Cloud Email
Application. In this interactive course, email marketers will gain hands-on
experience creating relevant emails based on subscriber data and learn how
to use enhanced functionality in Email Studio to test and send emails.",Digital Marketing
cg,227,Declarative Development for Platform App Builders (DEV-402),"Are you ready to move beyond Salesforce administration to unlock even greater capabilities through declarative programming? Master Salesforce's suite of click-not-code options for developing valuable apps and functionality over five days of guided scenarios, lecture, and discussion. Build your knowledge of app deployment, automation tools, security, UI customization, and more! To ensure success in this course you must be a Salesforce Certified Administrator and possess at least six months of experience building applications on Salesforce.",Salesforce Platform Skills
cg,230,Certification Preparation for Platform Developer I (CRT-450),"Are you ready to take the next step in your career by becoming a
Salesforce Certified Platform Developer 1?
By covering the details around the exam objectives, this course will help hone
your problem-solving skills and reinforce your knowledge of key topics. A
mock exam at the end of the course will help you assess your readiness.",Salesforce Platform Skills
cg,236,Professional Certificate in Geographic Information Systems (GIS) Fundamentals Intensive Academy,"Take the lead in today's data-driven world with an in-demand skill set that offers endless applications in nearly any industry. Learn how to understand, organize, and visually present large amounts of data.

In just five weeks, you can earn a Professional Certificate in Geographic Information Systems Fundamentals. Today, GIS includes the web, crowd-sourcing, social media and web services, which opens up powerful streams for sharing information. This project-based curriculum combines lecture and practical lab work (with real-world data) using the ArcGIS software platform and desktop software, including Web GIS, GIS Online, Mobile GIS and Apps, ArcGIS Pro, geospatial and spatial analysis tools, web mapping, and JavaScript. The program includes field visits to the Esri User Conference in San Diego, the UCR Map Gallery, and the Esri headquarters in Redlands.

Extend your stay and Learn More.",Geographic Information System (GIS)
cg,237,Specialized Study Program in English as a Second Language- Classroom Program,"This specialized study program offers English classes for adult learners in Riverside, California. These classes will help you improve your speaking, pronunciation, listening, reading, writing, and grammar in the English language. We offer beginning, intermediate, and advanced level classes. You will learn from professional teachers and assistant teachers.

You will practice English skills for everyday life. You will practice giving introductions, shopping, finding an apartment, making complaints, preparing for an interview, communicating at work, and more. When you successfully complete the highest level of the program, you will receive an award in English as a Second Language. You can list this award on your resume and job applications.",English
cg,238,Professional Certificate in Construction Management- Classroom Program,"Meet the ever-evolving challenges in each construction project you manage with advanced skills and knowledge that keep you up-to-date, and at the top of your field. Meeting deadlines, staying within budget, and ensuring compliance are just a few of the fundamentals we cover. You'll also learn about construction cost and estimating, planning and project management, and dig deep into specific issues particular to your career-like green design and energy management.",Construction Management
cg,241,Professional Certificate in Business Management- Classroom Program or Online Program,"This is our most flexible certificate, perfect for new (non-business) grads who need an overview of business before they get a job or for those looking to find their business niche. Pick one class each in Finance, Marketing, Human Resources and Operations; then choose an additional class in whatever business subject interests you.

This program can be completed in one quarter of study.",Business Management
cg,242,"Professional Certificate in Human Resources Management- Classroom, Online, or Hybrid Program","Gain a thorough understanding of the most current human resources theories and then put them into practice. Learn how to establish policies, programs, and procedures that resolve legal or staffing issues, advise managers, create training programs and provide a wide variety of other support for your organization and its most valuable resource. Use special projects, case studies, and role-playing opportunities to dig deep into areas of particular interest to your professional or company environment.",Human Resource Management
cg,243,Professional Certificate in Agile Project Management- Hybrid Program,"Not all projects come nicely packaged with a big red bow. In fact, many come with uncertainty, unknowns, and high rates of complexity and change, which can present problems for traditional project management approaches. That's where agile project management comes into play. In order to successfully manage and navigate high-risk projects, you need a style of management that focuses on continuous improvement, flexibility, fluidity, team input and communication. Using the Project Management Institute's A Guide to the Project Management Body of Knowledge (PMBOK® Guide) as a foundation, you will learn how to work collaboratively to manage a project and deliver the best possible outcome for your clients.",Project Management
cg,251,Professional Certificate in Lean Six Sigma- Classroom and Online Program,"Widely popular in every industry, Lean Six Sigma can make a difference for every organization, and, in turn, your own position within it. Learn how to reduce workload, eliminate waste and improve productivity in the long-term and develop objective metrics to measure, standardize and improve organizational goals. Produce predictable, measurable and quantifiable results over the lifetime of an organization to better meet the needs of customers, vendors, staff and stakeholders.",Six Sigma
cg,254,Professional Certificate in Geographic Information Systems (GIS) Management- Classroom Program,"GIS system management requires good leadership and proper planning to ensure successful and sustainable GIS operations for supporting an organization's decision-making process. Investigate the critical tasks of a GIS project to determine the key objectives and develop a needs assessment. Delve into ways to design and prepare a database in order to manage relevant data and perform an analysis to accurately interpret the results. We provide the tools for you to analyze and adapt to your own personal experience and organizational setting. Collaborate with peers to work through project challenges and experience GIS as it pertains to your particular circumstance. Adapt your learning immediately in the workplace, and take your GIS career to the next level with a solid understanding of background and process.",Geographic Information Systems (GIS)
cg,255,Professional Certificate in Geographic Information Systems (GIS) Fundamentals- Classroom Program,"GIS applications benefit nearly every field, and the uses are endless. No matter how it's used, GIS has a profound influence on the way business is done today. By sharing data that are easily visualized and understood, GIS continues to provide public and private decision makers, as well as citizens, with an efficient way to answer questions and solve problems. Knowledge of geographic information systems (GIS) and its many software tools and packages are ever evolving and now include the web, crowd-sourcing, social media, and access to Big Data and other data sources, which is opening up even more powerful ways to share information. Using the Esri software platform, you'll gain the fundamental GIS knowledge and technical skills critical to incorporating GIS into a project, research or organization application.",Geographic Information Systems (GIS)
cg,258,Professional Certificate in Data Science with R- Hybrid Program,"Data science, analytics, machine intelligence, and automation are creating a new revolution in workflow, and how our society functions. Pegged as one of the most sought after skills in the workforce today, data science is taking the world by storm and showing how its powerful tools and methods can be used to solve real-world business problems in a fraction of the time. Through foundational skill building, you will delve into programming in R, and build an understanding in the concepts of supervised and unsupervised machine learning. Learn how to predict probability and optimize logistics within a company's structure, while manipulating and exploring data such as dplyr, tibbles, and tidyr. Increase your marketability and take your career to the next level with these in-demand skills.",Data Science
cg,262,Professional Achievement Award Social Media Network Strategies- Classroom and Online Program,"Having a social media marketing strategy means more than just posting a few tweets or Facebook posts. This is the new reality across all industries, and redefines the way businesses interact with and engage with customers, clients and prospects. Learn how to optimize the customer experience, expand your reach and fulfill your marketing goals. Gain a fundamental understanding of the dynamics of social media applications and how they can drastically improve your overall marketing plan, brand reputation, customer communications and more.",Social Media Strategy
cg,263,Professional Certificate in Supply Chain Management- In Person Program,"Learn to execute the full scope of goods and services with a Professional Certificate in Supply Chain Management. From supplier to the consumer, every step in the process is regulated and detail-oriented, requiring a high level of accuracy, coordination, and communication. Equip yourself with knowledge in logistics, operations, purchasing, contracting, and related laws and regulations to master or build justification for advancement in a career in Supply Chain Management. In addition to learning tried-and-true principles and techniques for effective management of personnel, budgeting, and distribution systems, you'll also understand new challenges facing professionals in these roles, including e-commerce, emerging technologies, security, and global supply chain issues.

You can also build on these skills in either the Logistics or Purchasing Certificate Program by applying three units of selected coursework as an elective to the Supply Chain Management Certificate Program.",Supply Chain Management
cg,273,Professional Certificate in Event Management- Classroom Program,"Ready to start your own event planning business? Or take charge of events for your organization? Maybe you want to explore a position abroad, given the rising demand for event managers in international business. Wherever you are, have a thorough understanding of financial and legal safeguards, and establish effective marketing and business habits so you can plan, organize, and execute a variety of events, including: meetings, trade shows, and conferences, weddings, sporting events and more.",Event Management
cg,277,Professional Certificate in Social Media and Internet Marketing- Hybrid and Classroom Program,"Social media marketing is standard practice for any organization that wants to successfully market to their audience and provide content that resonates. New platforms and technologies are continuously transforming the ways in which consumers engage and interact with businesses - making it that much more important to stay current in best practices. Get familiar with today's social media platforms, learn how to optimize campaigns, and set your brand apart from the rest in the global digital marketplace.",Social Media Marketing
cg,284,Specialized Professional Program in Supervision and Leadership- Classroom Program,"In the fast-paced and multifaceted world of business, leaders are increasingly being tasked to take on diverse and demanding roles to respond to issues in the workplace as they arise. Benefit from an insider's perspective and acquire key communication strategies and conflict management techniques to run an efficient organization and team. Whether you're just getting started or looking to enhance your existing leadership role, this program will help you maximize and improve your overall performance.",Leadership
cg,291,WELDING,"Welding courses are open to both apprentices and non-apprentices. The program is geared toward the D1.1 Welding Certification, as sanctioned by the American Welding Society (AWS). Preparation for welding certification includes both classroom training and hands-on work experience. Most students take two to three years to complete the requirements for welding certification.
All students must purchase their own welding equipment. Speak with the instructor on the first night of class. The information regarding the appropriate welding gear required for the course are listed below.

Welding Safety Gear List

ARC WELDERS:
• Fiber Metal helmet model #906
• Lens shade #10-11-12, plus clear plate
• Welding jacket or cape & apron
• Gauntlet welding gloves
• Safety glasses
• Chipping hammer
• Wire brush
• Pliers

TIG WELDERS
• Welding jacket
• Fiber metal welding helmet model #909
• Lens shade #10-11-12, plus clear plate
• TIG gloves
• Pliers
• TIG handbook for GTAW by Miller",Welding
cg,294,PLUMBING,"This series of courses is designed for plumbers, homeowners or apprentices.  The courses cover all of the required areas needed for the completion of the apprenticeship and the license exam.
For current licensing requirements, contact the State Board of Examiners of Master Plumbers at 973-504-6420 or visit their website at http://www.njconsumeraffairs.gov/plu/.",Plumbing
cg,302,"HOSP 207, Customer Service","This course provides students with practical knowledge and skills of restaurant operations. Knowledge and appreciation of the relationship between ""front"" and ""back"" of the house is emphasized through operation of an actual food service
environment. Quality of service is emphasized through management of the guest experience. Additional course work will include tableside cookery and the study of beverages and wines.",Customer Service
cg,303,"HOSP 227, Hospitality Facilities Management and Design","This course provides a foundation of information needed to
manage the physical plant of a hotel or restaurant and work effectively with the engineering and
maintenance department.",Hospitality Industry Knowledge
